RM,MEDV
6.575,504000
6.421,453600
7.185,728700
6.998,701400
7.147,760200
6.43,602700
6.012,480900
6.172,569100
5.631,346500
6.004,396900
6.377,315000
6.009,396900
5.889,455700
5.949,428400
6.096,382200
5.834,417900
5.935,485100
5.99,367500
5.456,424200
5.727,382200
5.57,285600
5.965,411600
6.142,319200
5.813,304500
5.924,327600
5.599,291900
5.813,348600
6.047,310800
6.495,386400
6.674,441000
5.713,266700
6.072,304500
5.95,277200
5.701,275100
6.096,283500
5.933,396900
5.841,420000
5.85,441000
5.966,518700
6.595,646800
7.024,732900
6.77,558600
6.169,531300
6.211,518700
6.069,445200
5.682,405300
5.786,420000
6.03,348600
5.399,302400
5.602,407400
5.963,413700
6.115,430500
6.511,525000
5.998,491400
5.888,396900
7.249,743400
6.383,518700
6.816,663600
6.145,489300
5.927,411600
5.741,392700
5.966,336000
6.456,466200
6.762,525000
7.104,693000
6.29,493500
5.787,407400
5.878,462000
5.594,365400
5.885,438900
6.417,508200
5.961,455700
6.065,478800
6.245,491400
6.273,506100
6.286,449400
6.279,420000
6.14,436800
6.232,445200
5.874,426300
6.727,588000
6.619,501900
6.302,520800
6.167,480900
6.389,501900
6.63,558600
6.015,472500
6.121,466200
7.007,495600
7.079,602700
6.417,474600
6.405,462000
6.442,480900
6.211,525000
6.249,432600
6.625,596400
6.163,449400
8.069,812700
7.82,919800
7.416,697200
6.727,577500
6.781,556500
6.405,390600
6.137,405300
6.167,422100
5.851,409500
5.836,409500
6.127,428400
6.474,415800
6.229,407400
6.195,455700
6.715,478800
5.913,394800
6.092,392700
6.254,388500
5.928,384300
6.176,445200
6.021,403200
5.872,428400
5.731,405300
5.87,462000
6.004,426300
5.961,430500
5.856,363300
5.879,394800
5.986,449400
5.613,329700
5.693,340200
6.431,378000
5.637,300300
6.458,403200
6.326,411600
6.372,483000
5.822,386400
5.757,327600
6.335,380100
5.942,365400
6.454,359100
5.857,279300
6.151,373800
6.174,294000
5.019,302400
5.403,281400
5.468,327600
4.903,247800
6.13,289800
5.628,327600
4.926,306600
5.186,373800
5.597,323400
6.122,451500
5.404,411600
5.012,321300
5.709,407400
6.129,357000
6.152,327600
5.272,275100
6.943,867300
6.066,510300
6.51,489300
6.25,567000
5.854,476700
6.101,525000
5.877,499800
6.319,499800
6.402,468300
5.875,365400
5.88,401100
5.572,485100
6.416,495600
5.859,474600
